id;title;description;availability;condition;price;link;image_link;brand
1778009542716;MELU - Lip Oil Nectar do Paraiso Made in - Gloss Labial RRL6505;MELU - Lip Oil Nectar do Paraiso Made in - Gloss Labial RRL6505;in stock;new;24.9 BRL;https://donaantonia.com.br/produto/1778009542716;../site/img/produtos_2/P-ZQ8W.webp;MADE IN
1778008073576;Beta Hidratante Labial com Cor - Arlequina Maca Do Amor Vermelho 9,5g;Beta Hidratante Labial com Cor - Arlequina Maca Do Amor Vermelho 9,5g;in stock;new;19.9 BRL;https://donaantonia.com.br/produto/1778008073576;../site/img/produtos_2/P-WLR7.webp;BETA
1778508267542136874;Oleo labial essence JUICY BOMB PARTY 01 Pessego;Oleo labial essence JUICY BOMB PARTY 01 Pessego;in stock;new;18.9 BRL;https://donaantonia.com.br/produto/1778508267542136874;../site/img/produtos_2/P-NXCC.webp;ESSENCE
1778008073575;Lip Ice® Protetor Labial Fps15 Protege e hidrata os labios - Morango 3.5G;Lip Ice® Protetor Labial Fps15 Protege e hidrata os labios - Morango 3.5G;in stock;new;6.9 BRL;https://donaantonia.com.br/produto/1778008073575;../site/img/produtos_2/P-W3RK.webp;Dona Antônia
1778508267542156709;MAX LOVE LIP OIL NUDE GLOSS 24H COR 801 5ML;MAX LOVE LIP OIL NUDE GLOSS 24H COR 801 5ML;in stock;new;15.9 BRL;https://donaantonia.com.br/produto/1778508267542156709;../site/img/produtos_2/P-O6CY.webp;MAX LOVE
1778508267542161243;NIVEA Lip Oil Brilho Nutritivo Pink Rock 5,5ml, Hidratacao Prolongada, Efeito Gloss, Para Todos os Tons de Pele;NIVEA Lip Oil Brilho Nutritivo Pink Rock 5,5ml, Hidratacao Prolongada, Efeito Gloss, Para Todos os Tons de Pele;in stock;new;24.9 BRL;https://donaantonia.com.br/produto/1778508267542161243;../site/img/produtos_2/P-VXR8.webp;NIVEA
1778508267542171677;MAX LOVE LIP OIL NUDE GLOSS 24H COR 809 5ML;MAX LOVE LIP OIL NUDE GLOSS 24H COR 809 5ML;in stock;new;15.9 BRL;https://donaantonia.com.br/produto/1778508267542171677;../site/img/produtos_2/P-QYRZ.webp;Dona Antônia
1778007253673;Downy Amaciante Concentrado Agua Fresca 1,5L;Downy Amaciante Concentrado Agua Fresca 1,5L;in stock;new;32.9 BRL;https://donaantonia.com.br/produto/1778007253673;../site/img/produtos_2/P-R2YA.webp;DOWNY
1778006907868;MOLHO QUATRO QUEIJO SANTA TAVOLA 400g;"<div style=""overflow-wrap: break-word; margin: 16px 0px;""><br></div><div></div><div></div>";in stock;new;17.9 BRL;https://donaantonia.com.br/produto/1778006907868;../site/img/produtos_2/06907868.webp;SANTA TAVOLA
1778006774917;MOLHO DE TOMATE COM RICOTTA SANTA TAVOLA 400g;"<div style=""overflow-wrap: break-word; margin: 16px 0px;""><br></div><div></div><div></div>";in stock;new;17.9 BRL;https://donaantonia.com.br/produto/1778006774917;../site/img/produtos_2/06774917.webp;SANTA TAVOLA
1778006683653;MOLHO DE TOMATE ARRABIATA SACCIALI 530g;"<div style=""overflow-wrap: break-word; margin: 16px 0px;""><br></div><div></div><div></div>";in stock;new;18.9 BRL;https://donaantonia.com.br/produto/1778006683653;../site/img/produtos_2/06683653.webp;SACCIALI
1778006376230;Passata Basílico SANTA TAVOLA 680g;"<div style=""overflow-wrap: break-word; margin: 16px 0px;""><br></div><div></div><div></div>";in stock;new;18.9 BRL;https://donaantonia.com.br/produto/1778006376230;../site/img/produtos_2/06376230.webp;SANTA TAVOLA
